Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Tyler Flowers\flowety01,29,112,361,331,21,79,12,0,9,39,0,1,21,104,.239,.295,.356,.652,82,118,8,6,2,1,0
2,1B,Jose Abreu\abreujo02,28,154,668,613,88,178,34,3,30,101,0,0,39,140,.290,.347,.502,.850,135,308,16,15,0,1,11
3,2B,Yolmer Sanchez#\sanchca01,23,120,420,389,40,87,23,1,5,31,2,2,19,81,.224,.268,.326,.595,66,127,9,5,6,1,0
4,SS,Alexei Ramirez\ramiral03,33,154,622,583,54,145,33,0,10,62,17,7,31,68,.249,.285,.357,.642,79,208,18,1,1,6,2
5,3B,Tyler Saladino\saladty01,25,68,254,236,33,53,6,4,4,20,8,2,12,51,.225,.267,.335,.602,68,79,9,2,3,1,0
6,LF,Melky Cabrera#\cabreme01,30,158,683,629,70,172,36,2,12,77,3,0,40,88,.273,.314,.394,.709,97,248,18,2,2,10,2
7,CF,Adam Eaton*\eatonad02,26,153,689,610,98,175,28,9,14,56,18,8,58,131,.287,.361,.431,.792,122,263,5,14,5,2,2
8,RF,Avisail Garcia\garciav01,24,148,601,553,66,142,17,2,13,59,7,7,36,141,.257,.309,.365,.675,89,202,13,8,0,4,3
9,DH,Adam LaRoche*\larocad01,35,127,484,429,41,89,21,0,12,44,0,0,49,133,.207,.293,.340,.634,78,146,10,4,0,2,0
10,3B,Gordon Beckham\beckhgo01,28,100,237,211,24,44,8,0,6,20,0,1,19,43,.209,.275,.332,.607,70,70,6,2,1,4,1
11,C,Geovany Soto\sotoge01,32,78,210,187,20,41,8,0,9,21,0,1,21,63,.219,.301,.406,.708,96,76,2,1,1,0,0
12,3B,Conor Gillaspie*\gillaco01,27,58,185,173,10,41,11,1,3,15,0,1,9,34,.237,.276,.364,.640,78,63,2,1,0,2,1
13,RF,JB Shuck*\shuckja01,28,79,165,143,15,38,8,2,0,15,7,5,16,16,.266,.340,.350,.689,95,50,2,1,3,2,0
14,OF,Trayce Thompson\thomptr01,24,44,135,122,17,36,8,3,5,16,1,0,13,26,.295,.363,.533,.896,147,65,3,0,0,0,0
15,2B,Micah Johnson*\johnsmi04,24,36,114,100,10,23,4,0,0,4,3,2,9,30,.230,.306,.270,.576,64,27,0,2,2,0,0
16,3B,Mike Olt\oltmi01,26,24,86,79,6,16,0,0,3,4,0,1,7,29,.203,.267,.316,.584,63,25,2,0,0,0,0
17,2B,Emilio Bonifacio#\bonifem01,30,47,82,78,5,13,2,0,0,4,1,4,2,27,.167,.198,.192,.390,10,15,1,1,1,0,0
18,C,Rob Brantly*\brantro01,25,14,36,33,3,4,1,0,1,6,0,0,2,8,.121,.167,.242,.409,13,8,1,0,0,1,0
19,UT,Leury Garcia#\garcile02,24,17,15,14,0,3,0,0,0,1,1,0,1,7,.214,.267,.214,.481,38,3,0,0,0,0,0
20,P,Jose Quintana\quintjo01,26,4,9,8,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,1,0,0
21,P,Chris Sale*\salech01,26,3,9,9,1,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-37,1,0,0,0,0,0
22,P,Carlos Rodon*\rodonca01,22,2,3,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0
23,P,Jeff Samardzija\samarje01,30,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,183,1,0,0,0,0,0
24,P,Erik Johnson\johnser04,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
25,P,Javy Guerra\guerrja01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
26,P,Chris Beck\beckch02,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
27,P,Junior Guerra\guerrju02,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
28,P,John Danks*\danksjo01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
29,P,Zach Putnam\putnaza01,27,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
30,P,Scott Carroll\carrosc02,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Daniel Webb\webbda01,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Zach Duke*\dukeza01,32,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Frankie Montas\montafr02,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Jake Petricka\petrija01,27,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Hector Noesi\noesihe01,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Matt Albers*\alberma01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Kyle Drabek\drabeky01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Dan Jennings*\jennida01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Nate Jones\jonesna01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,David Robertson\roberda08,30,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,28.2,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,.250,.306,.380,.686,91,2103,125,65,30,37,22
,,Rank in 15 AL teams,,,,7,15,10,13,9,15,,12,11,14,8,10,14,15,15,,15,,4,,12,
,,Non-Pitcher Totals,28.3,162,6047,5513,621,1379,260,27,136,595,68,42,404,1220,.250,.307,.381,.688,92,2101,125,65,27,37,22
,,Pitcher Totals,23.8,162,23,20,1,2,0,0,0,0,0,0,0,11,.100,.100,.100,.200,-43,2,0,0,3,0,0
